func,budget,contrast,ref,eps,cycle,n_seeds,pr_ref,pr_arm,pr_d,pr_wtl,pr_p,pr_a12,cov_ref,cov_arm,cov_d,cov_wtl,cov_p,cov_a12,loss_ref,loss_arm,loss_d,loss_wtl,loss_p,loss_a12,cov_holm,loss_holm,silent,silent_holm,cancelling,movers,channel
N09-Vincent3D,40k,commit_place_r010 / base,base,0.001,e40,15,0.1099,0.1321,0.0222,14/0/1,0.0015,0.93,0.1201,0.1404,0.0204,13/1/1,0.002,0.9,0.0102,0.0083,-0.0019,5/1/9,0.4101,0.37,True,False,False,False,False,cov,coverage
N09-Vincent3D,40k,commit_place_r010 / base,base,1e-05,e40,15,0.1031,0.1278,0.0247,13/1/1,0.0021,0.9,0.1037,0.1278,0.0241,13/1/1,0.0021,0.9,0.0006,0.0,-0.0006,0/13/2,0.3725,0.43,True,False,False,False,False,cov,coverage
N09-Vincent3D,40k,commit_tight / base,base,0.1,e40,15,0.1136,0.2099,0.0963,15/0/0,0.0007,1.0,1.0,1.0,0.0,0/15/0,1.0,0.5,0.8864,0.7901,-0.0963,0/0/15,0.0007,0.0,False,True,False,False,False,loss,report
N09-Vincent3D,40k,commit_tight / base,base,0.001,e40,15,0.1099,0.1478,0.038,14/1/0,0.0007,0.97,0.1201,0.1488,0.0287,13/1/1,0.0012,0.9,0.0102,0.0009,-0.0093,0/2/13,0.0008,0.07,True,True,False,False,False,cov,coverage
N09-Vincent3D,40k,commit_tight / base,base,1e-05,e40,15,0.1031,0.1364,0.0333,14/1/0,0.0007,0.97,0.1037,0.1364,0.0327,14/1/0,0.0007,0.97,0.0006,0.0,-0.0006,0/13/2,0.3725,0.43,True,False,False,False,False,cov,coverage
N09-Vincent3D,40k,sigma_only / base,base,0.1,e40,15,0.1136,0.1802,0.0667,15/0/0,0.0006,1.0,1.0,1.0,0.0,0/15/0,1.0,0.5,0.8864,0.8198,-0.0667,0/0/15,0.0007,0.0,False,True,False,False,False,loss,report
N09-Vincent3D,40k,sigma_only / base,base,0.001,e40,15,0.1099,0.1296,0.0198,12/0/3,0.0054,0.8,0.1201,0.1315,0.0114,9/1/5,0.083,0.63,0.0102,0.0019,-0.0083,1/3/11,0.0046,0.17,False,True,False,False,False,-,-
N09-Vincent3D,40k,sigma_only / base,base,1e-05,e40,15,0.1031,0.1157,0.0127,11/1/3,0.0354,0.77,0.1037,0.116,0.0123,11/1/3,0.0381,0.77,0.0006,0.0003,-0.0003,0/14/1,0.6374,0.47,False,False,False,False,False,-,-
N08-Shubert3D,40k,commit_place_r010 / base,base,0.1,e40,15,0.3342,0.3514,0.0173,8/2/5,0.2665,0.6,0.3342,0.3514,0.0173,8/2/5,0.2665,0.6,0.0,0.0,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N08-Shubert3D,40k,commit_place_r010 / base,base,0.001,e40,15,0.107,0.1045,-0.0025,8/1/6,0.9773,0.57,0.107,0.1045,-0.0025,8/1/6,0.9773,0.57,0.0,0.0,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
