draw,start_opt,land_opt,dist,best_f,evals
1859,3,5,0.0015393321986175437,0.0004582735340953002,1500
1861,4,5,0.00014900471460721135,4.3050457690216135e-06,1500
1864,5,5,0.00012941720312544753,3.468829438952812e-06,1500
1862,4,5,0.002676712610606825,0.0013555286439773792,1500
1863,3,5,0.0021254381458940437,0.0008530055371596373,1500
1865,0,5,0.0005692026853595291,5.932315247827706e-05,1500
1867,3,5,0.002794832709105343,0.0014804687524518586,1500
1866,4,5,0.00029520830073425774,1.8214234264243053e-05,1500
1868,4,5,0.0003951264890613984,2.9377851736742442e-05,1500
1869,3,5,0.0008882799838115988,0.00014839950482497982,1500
1872,5,5,0.00027768254081438813,1.560108408248546e-05,1500
1870,0,0,0.0005259101661475677,9.344812962198126e-05,1500
1873,0,0,0.0005620577604741338,0.00010668700223807265,1500
1871,2,5,0.0006226203862773298,7.379820758516602e-05,1500
1875,0,0,0.0003787989421571436,4.8483275946380116e-05,1500
1874,1,5,0.0017245843628260077,0.0005579570268300951,1500
1878,5,5,0.00036777300141509526,2.848749246581533e-05,1500
1877,3,0,0.0025559842011126273,0.00220787458534972,1500
1876,2,5,0.002295487761038308,0.0010186241399018896,1500
1880,2,5,0.00039303546367125327,2.9098608906338265e-05,1500
1882,0,0,0.002267036244517548,0.0017356403549054914,1500
1881,5,5,0.00018266354215546953,6.203475548675776e-06,1500
1879,4,4,6.284397741192074e-05,1.0603320150946625e-06,1500
1883,4,4,0.0004680473429202413,5.7020592390077035e-05,1500
1884,0,0,0.00042932925592623365,6.240017279866378e-05,1500
1885,4,5,0.0008762695755236701,0.0001449928007608275,1500
1886,0,0,0.0003146351500427292,3.346625162673435e-05,1500
1887,2,0,0.00019240203496785654,1.2520875169273987e-05,1500
1888,3,5,0.0028634675110150594,0.0015716965644409103,1500
1889,4,5,0.0009670821817439406,0.00017923970993562917,1500
1890,3,5,0.0018148864960178697,0.0006319732412553456,1500
1891,1,5,0.002333126744602521,0.0010311604863908971,1500
1892,3,5,0.0023220992634694106,0.0009981050073693805,1500
1893,4,5,0.001194848216796267,0.00026633979712801283,1500
1894,4,4,0.00048384527291354316,5.749908562202901e-05,1500
1895,3,5,0.0001377220741270447,3.692974782354247e-06,1500
1896,4,5,0.006434417025902882,0.007675693678582575,1500
1898,5,5,0.0002432110008378264,1.0912822932552677e-05,1500
1897,0,5,0.001753455916683978,0.0005722510477164278,1500
1899,0,5,0.00047349380544035305,4.999139501379911e-05,1500
1900,5,5,0.0006161383957099958,7.150723206408849e-05,1500
1901,4,4,0.0003454473793618684,3.0253821526650808e-05,1500
1903,4,5,0.0010532878644867133,0.00020957837825729498,1500
1902,0,5,0.013904992436529706,0.03752659845788281,1500
1904,3,5,0.0009123850758825349,0.00016333805086882685,1500
1905,4,5,0.0008977048904497124,0.00014920785196811796,1500
1906,1,1,0.0003000630590772993,2.8353164081716043e-05,1500
1907,4,5,0.0005078673361835317,4.9565747285503935e-05,1500
1908,2,5,0.0011979234473618418,0.0002765587047757801,1500
1909,5,5,0.0014724013783204875,0.0004104592582116386,1500
1910,1,1,8.482097683225077e-05,2.2657632427597126e-06,1500
1911,4,4,0.000117206673707487,3.8090066789002166e-06,1500
1912,0,5,0.0007282973904720122,0.00010467861485461158,1500
1913,3,5,0.0005725906040442973,6.145487440991257e-05,1500
1914,4,4,0.001089892219303855,0.0003608148128720778,1500
1915,3,5,0.00026190522001058315,1.3236246752018373e-05,1500
1916,5,5,0.0011729282906901737,0.00026066569244906633,1500
1917,0,0,2.951458783782443,227.38222453579934,1500
1918,0,5,3.0502595705756574,355.4176199159738,1500
1919,2,5,0.0017910443804731093,0.0006278329565842096,1500
1921,3,5,0.000917388944802415,0.0001582204102176287,1500
1920,3,5,0.00033312460208196454,2.085606678866835e-05,1500
1923,5,5,0.00013656258522085828,3.783640921461506e-06,1500
1922,2,5,0.00019619093017170824,7.3036309667882825e-06,1500
1924,3,5,0.001687091368607343,0.0005278599413772349,1500
