function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct
N06-Shubert2D,18,2,4,4800,0.00013101837646445347,1,1,6.0870473890432556e-05,605,0
N06-Shubert2D,18,2,5,5365,0.00013455971921416676,1,1,0.0004279367403494568,545,0
N06-Shubert2D,18,2,6,5930,5.265089311023985e-05,1,1,0.0004279367403494568,545,0
N06-Shubert2D,18,2,7,6545,8.834710195060325e-05,1,1,8.424979085180978e-05,595,1
N06-Shubert2D,18,2,8,7135,9.858139725338333e-05,1,1,0.00018987780510698704,570,0
N06-Shubert2D,18,2,9,7750,6.573554639999202e-05,1,1,8.424979085180978e-05,595,0
N06-Shubert2D,18,2,10,8370,8.845780297406236e-05,1,1,7.161232222403831e-05,600,1
N06-Shubert2D,18,2,11,8925,8.278084825974474e-05,1,1,0.0005922999866428468,535,1
N06-Shubert2D,18,2,12,9395,9.80480391774563e-05,1,1,0.0019776729419317897,450,0
N06-Shubert2D,18,2,13,10015,6.212883627654264e-05,1,1,7.161232222403831e-05,600,1
N06-Shubert2D,18,2,14,10600,8.572690950359174e-05,1,1,0.00022338565306704358,565,1
N06-Shubert2D,18,2,15,11340,63.15413797490726,1,1,1.4489118831577082e-06,720,1
N06-Shubert2D,18,2,16,11890,2.6245139508773718e-05,1,1,0.0006968235136974668,530,1
N06-Shubert2D,18,2,17,12475,5.622412101047303e-05,1,1,0.00022338565306704358,565,1
N06-Shubert2D,18,2,18,13030,0.00013964631472163092,1,1,0.0005922999866428468,535,1
N06-Shubert2D,18,2,19,13600,6.379605054007698e-05,1,1,0.00036374622929703825,550,0
N06-Shubert2D,18,2,20,14200,0.00010630565756741817,1,1,0.00013718671418979815,580,1
N06-Shubert2D,18,2,21,14745,2.364529569831575e-05,1,1,0.0008197923690558432,525,1
N06-Shubert2D,18,2,22,15330,5.702878564761704e-05,1,1,0.00022338565306704358,565,1
N06-Shubert2D,18,2,23,15875,0.00011911023224797646,1,1,0.0008197923690558432,525,0
N06-Shubert2D,18,2,24,16445,4.575559660224826e-05,1,1,0.00036374622929703825,550,0
N06-Shubert2D,18,2,25,17065,5.0617904975069905e-05,1,1,7.161232222403831e-05,600,0
N06-Shubert2D,18,2,26,17495,0.00013426038808006524,1,1,0.00298102507649495,410,0
N06-Shubert2D,18,2,27,18115,0.00014973228334724809,1,1,7.161232222403831e-05,600,0
N06-Shubert2D,18,2,28,18665,0.00013326855804507431,1,1,0.0006968235136974668,530,0
N06-Shubert2D,18,2,29,19100,8.043250414857539e-05,1,1,0.002831973822670202,415,1
N06-Shubert2D,18,2,30,19570,9.288089091796792e-05,1,1,0.0019776729419317897,450,1
