function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,same
F08-Rosenbrock,17,-1,1188,0.0,0.0,732,732,True
F08-Rosenbrock,18,-1,1475,0.0,0.0,1002,1002,True
F08-Rosenbrock,19,-1,1304,0.0,0.0,843,843,True
F09-RosenbrockRot,0,-1,1353,0.0,0.0,1092,1092,True
F09-RosenbrockRot,1,-1,1283,0.0,0.0,768,768,True
F09-RosenbrockRot,2,-1,1194,0.0,0.0,732,732,True
F09-RosenbrockRot,3,-1,1289,0.0,0.0,878,878,True
F09-RosenbrockRot,4,-1,1348,0.0,0.0,954,954,True
F09-RosenbrockRot,5,-1,1126,0.0,0.0,747,747,True
F09-RosenbrockRot,6,-1,1244,0.0,0.0,934,934,True
F09-RosenbrockRot,7,-1,1242,0.0,0.0,807,807,True
F09-RosenbrockRot,8,-1,1328,0.0,0.0,802,802,True
F09-RosenbrockRot,9,-1,1199,0.0,0.0,803,803,True
F09-RosenbrockRot,10,-1,1201,0.0,0.0,812,812,True
F09-RosenbrockRot,11,-1,1193,0.0,0.0,712,712,True
F09-RosenbrockRot,12,-1,1591,0.0,0.0,1192,1192,True
F09-RosenbrockRot,13,-1,1158,0.0,0.0,837,837,True
F09-RosenbrockRot,14,-1,1203,0.0,0.0,923,923,True
F09-RosenbrockRot,15,-1,1319,0.0,0.0,893,893,True
F09-RosenbrockRot,16,-1,1398,0.0,0.0,902,902,True
F09-RosenbrockRot,17,-1,1092,0.0,0.0,821,821,True
F09-RosenbrockRot,18,-1,1302,0.0,0.0,952,952,True
F09-RosenbrockRot,19,-1,1434,0.0,0.0,1072,1072,True
F10-EllipsoidalRot,0,-1,1474,0.0,0.0,1049,1049,True
F10-EllipsoidalRot,1,-1,1619,0.0,0.0,1102,1102,True
F10-EllipsoidalRot,2,-1,1693,0.0,0.0,888,888,True
F10-EllipsoidalRot,3,-1,1404,0.0,0.0,941,941,True
F10-EllipsoidalRot,4,-1,1719,0.0,0.0,1168,1168,True
F10-EllipsoidalRot,5,-1,1534,0.0,0.0,1004,1004,True
F10-EllipsoidalRot,6,-1,1509,0.0,0.0,1038,1038,True
F10-EllipsoidalRot,7,-1,1253,0.0,0.0,975,975,True
F10-EllipsoidalRot,8,-1,1814,0.0,0.0,1254,1254,True
F10-EllipsoidalRot,9,-1,1443,0.0,0.0,1068,1068,True
F10-EllipsoidalRot,10,-1,1343,0.0,0.0,838,838,True
F10-EllipsoidalRot,11,-1,1489,0.0,0.0,918,918,True
F10-EllipsoidalRot,12,-1,1338,0.0,0.0,989,989,True
F10-EllipsoidalRot,13,-1,1414,0.0,0.0,974,974,True
F10-EllipsoidalRot,14,-1,1414,0.0,0.0,1182,1182,True
F10-EllipsoidalRot,15,-1,1719,0.0,0.0,1003,1003,True
F10-EllipsoidalRot,16,-1,1269,0.0,0.0,1031,1031,True
F10-EllipsoidalRot,17,-1,1558,0.0,0.0,1139,1139,True
F10-EllipsoidalRot,18,-1,1609,0.0,0.0,1123,1123,True
F10-EllipsoidalRot,19,-1,1552,0.0,0.0,1213,1213,True
F11-Discus,0,-1,1479,0.0,0.0,862,862,True
F11-Discus,1,-1,1658,0.0,0.0,1099,1099,True
F11-Discus,2,-1,1373,0.0,0.0,999,999,True
F11-Discus,3,-1,1413,0.0,0.0,984,984,True
F11-Discus,4,-1,1549,0.0,0.0,974,974,True
F11-Discus,5,-1,1418,0.0,0.0,1012,1012,True
F11-Discus,6,-1,1509,0.0,0.0,945,945,True
F11-Discus,7,-1,1599,0.0,0.0,1143,1143,True
F11-Discus,8,-1,1554,0.0,0.0,1053,1053,True
F11-Discus,9,-1,1304,0.0,0.0,888,888,True
F11-Discus,10,-1,1453,0.0,0.0,1004,1004,True
F11-Discus,11,-1,1529,0.0,0.0,962,962,True
F11-Discus,12,-1,1414,0.0,0.0,939,939,True
F11-Discus,13,-1,1278,0.0,0.0,947,947,True
F11-Discus,14,-1,1468,0.0,0.0,998,998,True
F11-Discus,15,-1,1449,0.0,0.0,1095,1095,True
F11-Discus,16,-1,1279,0.0,0.0,969,969,True
F11-Discus,17,-1,1543,0.0,0.0,1089,1089,True
F11-Discus,18,-1,1348,0.0,0.0,1103,1103,True
F11-Discus,19,-1,1573,0.0,0.0,1169,1169,True
F12-BentCigar,0,-1,1314,0.0,0.0,914,914,True
F12-BentCigar,1,-1,1384,0.0,0.0,988,988,True
F12-BentCigar,2,-1,1383,0.0,0.0,1065,1065,True
F12-BentCigar,3,-1,1503,0.0,0.0,1082,1082,True
F12-BentCigar,4,-1,1373,0.0,0.0,919,919,True
F12-BentCigar,5,-1,1208,0.0,0.0,832,832,True
F12-BentCigar,6,-1,1309,0.0,0.0,824,824,True
F12-BentCigar,7,-1,1348,0.0,0.0,964,964,True
F12-BentCigar,8,-1,1333,0.0,0.0,1024,1024,True
F12-BentCigar,9,-1,1454,0.0,0.0,909,909,True
F12-BentCigar,10,-1,1313,0.0,0.0,1044,1044,True
F12-BentCigar,11,-1,1233,0.0,0.0,953,953,True
F12-BentCigar,12,-1,1303,0.0,0.0,1058,1058,True
F12-BentCigar,13,-1,1060,0.0,0.0,971,971,True
F12-BentCigar,14,-1,1179,0.0,0.0,939,939,True
F12-BentCigar,15,-1,1330,0.0,0.0,1144,1144,True
F12-BentCigar,16,-1,1484,0.0,0.0,998,998,True
F12-BentCigar,17,-1,1269,0.0,0.0,868,868,True
F12-BentCigar,18,-1,1258,0.0,0.0,973,973,True
F12-BentCigar,19,-1,1413,0.0,0.0,1083,1083,True
F13-SharpRidge,0,-1,3739,0.0,0.0,1839,1839,True
F13-SharpRidge,1,-1,3099,0.0,0.0,1309,1309,True
F13-SharpRidge,2,-1,3373,0.0,0.0,1798,1798,True
F13-SharpRidge,3,-1,3278,0.0,0.0,1568,1568,True
